time,open,high,low,close
1624887000,50.91,50.91,42.11,44.43
1624973400,46.08,46.08,39.44,39.77
1625059800,37.93,40.77,37.62,39.99
1625146200,43.79,46.24,41.56,44.94
1625232600,45.38,45.38,38.12,40.73
1625578200,38.59,38.59,27.92,31.97
1625664600,33.41,33.41,26.06,30.23
1625751000,20.23,26.93,18.39,24.6
1625837400,29.35,38.28,29.35,38.26
1626096600,35.83,42.94,35.16,42.94
1626183000,40.1,40.25,32.27,32.27
1626269400,36.88,38.58,28.23,28.23
1626355800,25.04,28.81,23.48,28
1626442200,30.81,30.81,23.34,23.34
1626701400,14.63,16.66,13.4,15.26
1626787800,16.93,31.31,16.93,27.06
1626874200,32.76,39.8,32.76,38.15
1626960600,35.87,35.87,28.75,30.85
1627047000,34.82,36.74,31.19,36.73
1627306200,40.89,43.35,38.3,41.04
1627392600,34.97,36.8,31.46,35.9
1627479000,40.93,48.87,35.04,45.2
1627565400,53.04,57.27,52.33,53.01
1627651800,51.54,56.49,46.82,47.64
1627911000,54.98,58.51,47.14,47.16
1627997400,47.56,50.22,40.36,50.18
1628083800,45.56,48.33,40.89,40.89
1628170200,44.62,53.43,44.62,53.43
1628256600,56.53,57.73,54.21,56.66
1628515800,53.64,58.04,53.64,55.97
1628602200,56.75,58.5,56.3,57.02
1628688600,57.63,60.49,54.91,60.49
1628775000,58.15,58.18,54.94,57.63
1628861400,56.21,56.21,53.02,53.36
1629120600,45.93,47.71,43.83,46.19
1629207000,37.95,39.69,31.96,37.8
1629293400,35.37,40.96,31.87,31.89
1629379800,25.56,28.59,23.26,25.96
1629466200,23.83,34.73,23.83,33.81
1629725400,39.79,45.71,39.79,44.23
1629811800,48.33,53.88,47.47,52.86
1629898200,51.18,61.6,51.18,56.67
1629984600,56.67,59.37,48.17,48.36
1630071000,53.78,70.33,53.78,68.11
1630330200,70.51,70.51,62.25,62.25
1630416600,65.16,68.84,62.58,66.52
1630503000,68.16,71.27,64.02,67.99
1630589400,72.03,74.28,70.23,71.75
1630675800,72.41,72.41,64.59,66.51
1631021400,66.53,68.16,58.06,58.06
1631107800,56.53,57.05,48.06,50.04
1631194200,48.96,56.67,48.96,48.99
1631280600,51.47,51.47,41.91,41.91
1631539800,46.34,48.5,42.14,45.53
1631626200,47.88,47.88,34.75,35.17
1631712600,34.4,41.48,34.16,41.39
1631799000,40.46,42.29,35.02,39.79
1631885400,38.24,39.29,34.33,39.29
1632144600,21.72,23.8,17.13,21.03
1632231000,24.41,25.96,20.33,23.5
1632317400,27.84,36.05,27.84,31.69
1632403800,37.54,48.89,37.54,46.35
1632490200,42.57,46.61,42.35,44.51
1632749400,52.83,52.84,52.83,52.83
1632835800,49.92,50.03,40.82,40.82
1632922200,42.71,43.63,40.08,40.38
1633008600,43.39,44.24,35.25,35.26
1633095000,38.39,47.55,35.29,44.9
1633354200,41.94,42.47,40.66,41.04
1633440600,41.64,47.48,41.64,45.55
1633527000,39.36,43.91,34.65,43.91
1633613400,50.12,57.33,50.12,53.09
1633699800,54.06,54.92,49.89,49.91
1633959000,51.04,54.71,47.36,47.37
1634045400,49.09,52.46,49.04,51.03
1634131800,52.56,54.72,47.66,54.45
1634218200,61.66,64.67,61.44,63.52
1634304600,69.82,69.82,62.99,63.03
1634563800,60.03,61.36,59.55,59.92
1634650200,61.1,63.7,59.34,62.91
1634736600,62.55,68.24,61.93,66.41
1634823000,67.6,69.66,64.06,66.02
1634909400,64.63,65.45,61.2,62.13
1635168600,63.98,66.67,62.27,65.47
1635255000,66.19,66.19,60.62,60.76
1635341400,57.6,57.6,46.24,46.25
1635427800,49.51,56.54,49.51,56.54
1635514200,54.44,55.78,51.48,53.75
1635773400,56.52,68.28,56.52,68.12
1635859800,65.38,65.38,61.32,65.23
1635946200,62.16,72.27,62.16,71.4
1636032600,71.81,71.96,64.39,66.26
1636119000,68.89,71.18,66.95,68.68
1636381800,70.81,72.09,69.07,69.72
1636468200,68.94,68.94,64.21,66.08
1636554600,64.41,65.21,57,58.5
1636641000,59.91,61.82,59.53,60.49
1636727400,60.72,60.77,58.23,60.43
1636986600,60.87,60.87,57.5,58.63
1637073000,55.17,57.02,54.5,55.12
1637159400,51.96,51.96,46.26,48.14
1637245800,48.21,48.21,40.24,42.86
1637332200,37.88,39.01,36.46,36.53
1637591400,38.3,43.07,37.08,37.08
1637677800,36.92,38.81,33.51,37.57
1637764200,31.12,36.79,31.12,36.58
1637937000,19.54,19.54,14.19,16.77
1638196200,20.17,20.53,15.95,17.82
1638282600,14.54,15.69,10.4,11.4
1638369000,14.58,18.64,8.96,8.98
1638455400,9.61,15.68,9.61,14.87
1638541800,16.83,16.83,10.22,12.14
1638801000,15.12,23.32,15.12,19.82
1638887400,28.45,35.2,28.45,31.22
1638973800,33.73,40.17,33.73,39.03
1639060200,35.4,36.52,29.61,29.62
1639146600,37.24,37.24,28.52,31.75
1639405800,30.54,30.54,24.56,25.41
1639492200,23.97,28.63,21.8,22.24
1639578600,24.33,31.81,19.38,31.81
1639665000,38.45,41.16,27.2,29.4
1639751400,27.67,35.02,24.86,32.35
1640010600,22.4,25.25,19.47,25.22
1640097000,33.13,43.04,33.13,42.76
1640183400,45.62,51.78,43.82,51.78
1640269800,58.47,64,57.47,62.72
1640615400,64.81,68.51,60.55,68.42
1640701800,69.78,72.71,66.08,66.1
1640788200,65.31,66.18,63.33,64.37
1640874600,65.88,71.76,65.88,65.9
1640961000,68.07,69.07,64.07,65.99
1641220200,70.1,74.38,68.32,73.91
1641306600,76.47,76.47,66.65,68.6
1641393000,69.02,69.71,52.75,52.81
1641479400,54.54,56.6,48.37,53.08
1641565800,52.24,54.99,49.57,49.62
1641825000,44.08,46.19,39.67,46.15
1641911400,45.98,51.85,42.97,51.71
1641997800,54.82,55,47.08,49.92
1642084200,50.79,53.68,47.24,47.24
1642170600,39.9,45.13,39.6,45.11
1642516200,38.71,38.71,34.95,34.97
1642602600,34.45,34.45,28.94,28.94
1642689000,28.93,33.96,22.09,22.16
1642775400,17.35,22.31,14.77,14.82
1643034600,8.72,16.59,7.69,16.4
1643121000,9.28,19.53,8.18,17.57
1643207400,19.47,23.57,12.52,14.36
1643293800,16.7,20.25,11.13,12.48
1643380200,10.87,15.82,10.2,15.77
1643639400,14.44,27.18,14.44,27.15
1643725800,29.65,37.73,25.47,37.71
1643812200,37.27,37.27,31.84,35.82
1643898600,29.44,33.9,26.97,27.62
1643985000,26.9,35.84,25.69,33.46
1644244200,36.18,43.52,35.75,39.27
1644330600,42.53,51.32,42.53,51.32
1644417000,62.07,64.33,61.74,63.77
1644503400,57.36,69.38,53.5,54.99
1644589800,59.44,63.92,47.03,50.44
1644849000,52.76,52.76,44.78,46.61
1644935400,58.61,65.55,58.61,65.55
1645021800,64.95,68.02,62.32,67.16
1645108200,57.08,58.05,50.84,51.83
1645194600,48.07,52.15,44.28,45.2
1645540200,39.83,43.6,31.95,34.52
1645626600,40.19,40.19,27.22,27.33
1645713000,14.3,34.36,14.3,33.98
1645799400,36.41,49.06,33.17,48.89
1646058600,47.79,47.79,46.99,47.01
