time,open,high,low,close,EMA,EMA
1687354200,50.27,51.08,49.77,50.12,45.439836074083736,50.148739641712126
1687440600,50.6,50.6,48,48.06,45.54258760059026,49.768968797764465
1687527000,46.8,47.49,45.57,45.81,45.55307436135143,49.04915628908002
1687786200,46.94,47.83,46.62,46.74,45.599620464827844,48.629309691065465
1687872600,48.43,48.92,48.08,48.6,45.717282407383614,48.62398065632629
1687959000,49.39,49.39,48.34,48.97,45.84483996003524,48.68689326426696
1688045400,49.74,50.93,49.74,50.9,46.043081530229934,49.08927630712751
1688131800,53.6,53.6,51.63,51.75,46.26688225453464,49.57304425128615
1688391000,53.28,53.39,52.75,52.9,46.52700451906269,50.17794529650685
1688563800,52.13,52.13,50.8,50.8,46.69457296929553,50.29104615168742
1688650200,49.69,49.69,46.57,48.24,46.755177950891785,49.918128669562435
1688736600,50.65,51.87,50.41,50.47,46.900857246935246,50.018468911460175
1688995800,51.72,52.9,51.72,52.26,47.111019707839745,50.42602001846742
1689082200,55.06,55.06,53.8,54.59,47.40431305263034,51.18310728783698
1689168600,58.54,58.54,56.42,56.44,47.758653717233074,52.13890596277571
1689255000,58.38,58.9,57.68,58.2,48.168118277341584,53.24092306045285
1689341400,57.58,57.58,55.43,55.73,48.46466265862231,53.69348250400688
1689600600,56.34,57.27,56.26,56.34,48.77349941710771,54.17466750327836
1689687000,59.54,59.67,57.76,58.57,49.15767591055447,54.97381886631866
1689773400,60.58,60.94,59.75,59.99,49.582472933669976,55.88585179971527
1689859800,60.24,60.24,59.01,59.29,49.96316026960449,56.504787836130674
1689946200,60.97,60.97,59.21,59.21,50.32578143550235,56.99664459319782
1690205400,61.11,61.11,59.56,59.94,50.70280961450226,57.531800121707306
1690291800,61.2,61.2,59.1,59.12,51.032895511972754,57.82056373594234
1690378200,61.61,61.61,60.16,60.73,51.41317411934637,58.349552147589186
1690464600,62.56,62.56,57.15,57.45,51.649912389175924,58.18599721166388
1690551000,60.13,60.13,59.09,59.59,51.96128837391412,58.44127044590681
1690810200,61.78,61.82,60.92,61.43,52.33261039846651,58.984675819378296
1690896600,60.76,60.76,58.67,58.8,52.58623352009527,58.95109839767315
1690983000,58.38,58.38,56.5,56.74,52.749126323228786,58.54908050718712
1691069400,56.28,56.96,55.41,55.69,52.86445470271001,58.02924768769855
1691155800,57.21,57.6,55.24,55.53,52.96898589083903,57.57483901720791
1691415000,57,57,55.1,55.38,53.0635354637473,57.17577737771556
1691501400,52.66,54.39,52.26,54.34,53.113592896541526,56.660181490858186
1691587800,55.16,55.16,52.9,53.08,53.1122755280497,56.00923940161124
1691674200,55.42,55.72,52.16,52.45,53.086303938714416,55.36210496495465
1691760600,53.02,53.35,52.35,52.52,53.06409594111777,54.84535860769017
1692019800,51.39,51.76,51.02,51.54,53.00432747283864,54.24438431538287
1692106200,50.32,50.32,48.05,48.14,52.81356953272732,53.13449625804053
1692192600,49.54,49.55,46.21,46.21,52.55460602163998,51.87549693839679
1692279000,48.22,48.22,44.19,44.19,52.226582256085464,50.47813385868829
1692365400,44.6,45.44,44.39,45.32,51.95573589310172,49.54029133892678
1692624600,45.8,45.82,44.31,44.59,51.666883505136944,48.64023836821282
1692711000,46.5,46.5,44.14,44.15,51.37210375983746,47.82383139217413
1692797400,45.6,46.52,45.5,46.12,51.1661389065105,47.514043866324286
1692883800,46.99,46.99,44.18,44.19,50.89256483174538,46.909672254265324
1692970200,45.95,45.95,43.78,44.92,50.65834660304949,46.54791366258072
1693229400,47.35,47.48,46.04,46.32,50.48821536371421,46.50647481483877
1693315800,47.79,49.12,47.61,49.09,50.4333833886666,46.97620666668627
1693402200,50.39,50.62,49.06,49.06,50.37952521656202,47.355078181834216
1693488600,50.5,50.62,48.26,48.26,50.29640658061842,47.519609421500725
1693575000,51.1,51.1,49.64,49.64,50.27066514608436,47.90513498122787
1693920600,48.27,48.27,45.92,45.92,50.100050826630074,47.54420134827735
1694007000,47.19,47.19,44.58,45.2,49.9078919706838,47.11798292131783
1694093400,44.73,44.73,42.95,43.43,49.653856991441295,46.447440571987315
1694179800,44.17,44.17,42.89,43.09,49.396450834914184,45.83699683162599
1694439000,45.59,45.59,43.55,43.58,49.168354723741075,45.42663377133035
1694525400,44.87,44.87,43.73,43.74,48.95547806790809,45.11997308563392
1694611800,44.52,44.52,42.3,42.3,48.694478927990126,44.607250706427756
1694698200,44.81,45.14,43.98,44.95,48.54763661708855,44.66956875980453
1694784600,45.24,45.24,43.26,43.98,48.36851361249684,44.54419262165825
1695043800,43.64,43.96,43.17,43.17,48.164650333575395,44.29433941772039
1695130200,44.44,44.44,42.22,42.37,47.93740914402342,43.94445952358941
1695216600,44.4,44.78,41.56,41.62,47.689667608963674,43.52183051930042
1695303000,39.53,39.67,38.07,38.15,47.315562996847454,42.5451340612458
1695389400,39.38,39.45,37.64,37.64,46.93612915383383,41.653291504655655
1695648600,37.47,38.45,37.31,38.02,46.58647703015407,40.99269304926372
1695735000,38.92,38.92,35.19,35.19,46.139556362304894,39.93765794939759
1695821400,37.18,37.45,35.45,36.22,45.75055415201843,39.26172014041621
1695907800,36.89,38.29,36.67,37.51,45.42739516566477,38.94322556943144
1695994200,39.27,39.27,36.48,36.71,45.08553653171713,38.537184556807546
1696253400,36.33,36.33,33.98,34.57,44.673162550081166,37.81587827375163
1696339800,33.06,33.06,31.55,32,44.17617578341132,36.75844586034224
1696426200,32.21,32.76,31.2,32.57,43.721031635042245,35.99691024937093
1696512600,32.81,33.18,31.46,32.4,43.277069610138625,35.34292656766712
1696599000,32.14,34.79,31.9,34.19,42.9207139391528,35.13330355536401
1696858200,34.13,35.56,33.61,35.2,42.617940843499746,35.14543018166146
1696944600,37.39,38.49,36.99,37.06,42.39998237904877,35.49353378499574
