time,open,high,low,close,EMA,EMA,EMA
1669991400,46.6,48.79,46.6,48.57,35.959605718401725,42.03477177326444,45.10129701554473
1670250600,47.73,47.73,43.81,43.93,36.27217020003303,42.21526969962021,44.88833392180933
1670337000,44.46,44.46,41.46,42.19,36.50424195689448,42.21286306156114,44.39772775420763
1670423400,42.88,43.1,41.51,41.54,36.70172266446725,42.14878086522198,43.87814088980624
1670509800,42.67,43.99,42.04,42.44,36.92675314821363,42.17651602091512,43.616660728023284
1670596200,42.61,42.85,40.76,40.78,37.07786086789152,42.04351449511368,43.10090423201905
1670855400,41.44,43.69,41.44,43.46,37.32814083385656,42.17841787653143,43.16619437165195
1670941800,49.66,49.66,44.23,44.96,37.62742942860728,42.44333045971891,43.49234084953341
1671028200,45.72,46.16,43.08,43.4,37.853804745132486,42.53444184450758,43.4755516041637
1671114600,40.88,40.88,38.46,38.69,37.8865967159116,42.168304525983054,42.60545131249757
1671201000,37.24,37.84,35.94,37.75,37.88123998195428,41.747513618746574,41.72264198295256
1671460200,37.85,37.85,34.93,35.64,37.79334821795607,41.16584565505642,40.616707076961184
1671546600,35.58,37.21,35.4,36.43,37.7398835819578,40.71481273552724,39.855487608422784
1671633000,38.08,39.89,38.05,39.22,37.79792736305749,40.57244961785798,39.73994440689137
1671719400,37.56,37.56,34.66,37.11,37.77094981940817,40.24269251139531,39.26177269654748
1671805800,37.13,38.59,37.13,38.43,37.79679492452942,40.07005512935766,39.11054129717521
1672151400,38.69,39.57,38.27,38.75,37.83417551572435,39.94433559322836,39.04498833405245
1672237800,39.21,39.21,35.2,35.2,37.73087451510771,39.49249410815899,38.345899546042915
1672324200,36.93,39.77,36.93,39.57,37.8029970831427,39.49987562166766,38.56846326494421
1672410600,38.07,38.95,37.61,38.92,37.84680111909789,39.44464937198503,38.632379034954354
1672756200,40.66,40.66,37.02,38.59,37.87594617325092,39.36325419370074,38.62467375587175
1672842600,40.84,41.88,39.9,40.66,37.98512475469206,39.48675379430067,38.99473307298597
1672929000,39.23,40.19,38.85,39.34,38.03825711725315,39.47277724246251,39.05750887789762
1673015400,41.57,44.12,40.68,43.76,38.262639191086365,39.881084171751795,39.91250726373441
1673274600,45.42,46.54,44.36,44.47,38.50606510516141,40.3181237744421,40.74114230669179
1673361000,45.4,46.61,44.79,46.61,38.823866473586456,40.91735008163809,41.80820734183874
1673447400,48.18,49.5,48.15,49.5,39.24253837658306,41.73474531195827,43.206715097868056
1673533800,50.48,52.08,50.36,51.98,39.74204667554059,42.71048385367653,44.80185780734659
1673620200,51.25,53.16,51.25,53.16,40.26824092355861,43.705675867612094,46.321520024192665
1673965800,53.38,53.96,52.72,53.17,40.774192259889645,44.607040070696655,47.56669820161218
1674052200,55.24,55.31,50.24,50.24,41.14540040656064,45.14351244491602,48.05275307404633
1674138600,48.36,49.38,47.59,48.52,41.434600390617085,45.465082688257354,48.13770706058336
1674225000,49.45,52.3,49.45,52.3,41.860694492945825,46.11602719413761,48.894487595022746
1674484200,53.11,55.15,53.11,54.62,42.361059414791086,46.9259293661245,49.935489850473154
1674570600,53.9,54.69,53.89,53.89,42.813174731858105,47.58917418839836,50.65449169584167
1674657000,52.36,54.67,52.07,54.67,43.27814827178524,48.26353855140804,51.38458411477955
1674743400,55.14,55.83,54.3,55.82,43.76998559446033,48.983201546512035,52.191023366637815
1674829800,56.7,57.67,55.62,57.05,44.29077047310894,49.75146806589184,53.07447366361276
1675089000,56.02,56.91,54.61,54.63,44.69623045455565,50.21609015485453,53.35729663386498
1675175400,56.57,59.53,56.3,59.53,45.277946907318174,51.10312918772552,54.479606336798625
1675261800,60.92,63.6,59.45,62.57,45.956066636442955,52.19521212222785,55.95058700283524
1675348200,66.87,67.1,64.72,66.42,46.758573827170686,53.549953824872816,57.85411663868338
1675434600,66.07,66.07,63.83,63.83,47.42804152022281,54.529005841551594,58.94064088619549
1675693800,63.48,63.48,61.65,61.78,47.99086342139054,55.219576713784775,59.45688799779631
1675780200,61.63,63.59,60.63,63.19,48.586907993100716,55.978664645805274,60.135635634560614
1675866600,63.21,63.41,60.73,60.73,49.06310767964579,56.4311727747762,60.24370188282232
1675953000,63.34,63.34,57.87,58.13,49.41867208436556,56.592965843845136,59.8593924495819
1676039400,58.17,58.75,57.36,58.55,49.77676337517475,56.77935004919322,59.621321095112464
1676298600,58.88,60.6,58.82,60.25,50.1874785369326,57.109888139746246,59.73562635054656
1676385000,60.39,61.72,58.51,59.78,50.56365584920975,57.36418450738946,59.74369428681082
1676471400,59.76,61.72,59.05,61.69,50.99998307080937,57.77616693525713,60.09756805284522
1676557800,60,61.19,59.36,59.37,51.32821902881685,57.92796056047074,59.965282952327904
1676644200,58.3,59.67,58.3,59.6,51.652602596314225,58.08720241185448,59.89886787008647
1676989800,58.38,58.38,54.43,54.49,51.76387308273328,57.74461170596358,58.91543734825257
1677076200,56.29,56.29,54.08,54.43,51.86842707948883,57.428934400633715,58.099903284933916
1677162600,57.52,57.52,53.6,55.89,52.026135821469666,57.28236921962098,57.698102687673206
1677249000,52.74,53.57,52.35,53.57,52.08667951474536,56.92881024632374,56.94753856264171
1677508200,55.55,56.25,53.79,53.79,52.153476396520055,56.629875937150054,56.3734406421614
1677594600,54.2,55.06,53.52,53.52,52.207065557440835,56.333697276469096,55.85463325267751
1677681000,54.19,54.19,52.77,52.89,52.23384730028629,56.00572610728156,55.31560902491796
1677767400,52.09,53.54,52.09,53.53,52.284676817922126,55.76994266849284,54.99095283856924
1677853800,54.72,56.69,54.5,56.38,52.44527772702322,55.82804336673161,55.24350686792029
1678113000,56.94,57.07,53.43,53.86,52.500757031845836,55.64061066513813,54.99196016466205
1678199400,54.01,54.01,51.02,51.43,52.45876656000875,55.239600125601164,54.34433104381441
1678285800,52.01,52.46,50.52,51.86,52.43528551843978,54.917733446972484,53.892634490393604
1678372200,52.31,52.31,46.64,46.66,52.208803733402924,54.13128264249892,52.577610037594766
1678458600,44.38,45.12,39.45,40.66,51.755909469347905,52.8483033432133,50.410771848941174
1678714200,38.81,39.93,37.97,37.97,51.21528556858917,51.43132207243109,48.14881333095187
1678800600,41.57,42.66,40.09,40.75,50.80488221295822,50.41405330362812,46.80357454350607
1678887000,36.82,37.54,34.8,37.54,50.28469075362653,49.18795298899687,45.11928826286861
1678973400,35.57,40.55,35.57,40.23,49.89038915544509,48.334814609092405,44.23032676052886
1679059800,38.52,38.52,36.21,36.38,49.360569972878615,47.19626083679789,42.802994622250885
1679319000,37.67,39.02,37.41,37.76,48.905645660216706,46.297569328531424,41.886086509114364
1679405400,41.08,41.36,40.5,40.86,48.59013014412977,45.779705582957,41.69952532563902
1679491800,41.15,41.16,37.44,37.46,48.153654452203114,44.98735267029443,40.928702539159204
1679578200,39.29,40.21,35.72,36.57,47.69939349329319,44.18570003502829,40.13621116840299
1679664600,35.39,37.86,34.65,37.49,47.299025121007176,43.54801431740655,39.65508186505699
1679923800,40.06,40.12,38.73,39.6,46.99710256724219,43.17201295384402,39.64506698050118
1680010200,39.93,40.86,39.8,39.97,46.72152991754641,42.86705933919221,39.70414571131914
1680096600,42.13,42.61,41.51,42.5,46.55597972470146,42.83210130688819,40.21248285471566
1680183000,44.91,44.91,42.2,43.06,46.41888248059552,42.85380594432741,40.730213244767356
1680269400,45.07,46.5,45.07,46.5,46.42206355978785,43.201062521058134,41.77926538208238
1680528600,47.57,47.75,45.3,46.75,46.43492381234519,43.53905656667165,42.68303531261286
1680615000,46.45,46.45,43.29,44.01,46.33982876088067,43.583908322226726,42.92430161941052
1680701400,43.48,43.48,41.32,42.1,46.17356096633633,43.442583720109894,42.77442859769952
1680787800,42.49,42.78,42,42.38,46.02479386961726,43.34138527057562,42.702714307208694
1681133400,42.2,44.06,42.2,44.04,45.94695881590678,43.40792000671128,42.945857160443474
1681219800,45.62,46.85,45.34,46.01,45.94943101920455,43.655737148929255,43.502974040362844
1681306200,47.16,47.16,44.62,44.72,45.90121803805928,43.7570955156979,43.724251487569596
1681392600,47.16,47.16,44.62,47.05,45.94626831107656,44.07070546658381,44.328933035284216
1681479000,48.14,48.45,44.77,45.51,45.92915974985787,44.20778113643297,44.543672483414355
1681738200,46.13,46.63,45.22,46.23,45.940957406726184,44.40037340915364,44.850277486429924
1681824600,47.14,47.14,44.81,45.62,45.92837084175653,44.516528322567574,44.990227034351754
1681911000,45.16,45.51,44.28,44.99,45.89157198521706,44.56162086327542,44.99018575537871
1681997400,44.65,44.96,43.6,44.45,45.835039750502666,44.550990304868236,44.89197016349167
1682083800,44.92,44.92,43.22,43.81,45.75562642695354,44.48041979964269,44.695248315584095
1682343000,44.54,44.72,43,43.22,45.65619009648477,44.36037981872434,44.42702134911426
1682429400,42.73,42.73,39.36,39.39,45.41045715152458,43.887010312179164,43.511199285638945
1682515800,39.27,39.27,37.27,37.67,45.10690981224911,43.29491409197163,42.44916305188641
1682602200,39.09,40.23,37.59,40.23,44.91565844706287,43.00301751178385,42.04567886063433
1682688600,40.81,42.37,40.81,41.9,44.79739733149177,42.89796822494729,42.01919179506445
1682947800,42.84,43.32,41.8,41.95,44.68573469104111,42.80768553685707,42.006611468689094
1683034200,38.26,38.68,37.21,38.54,44.444725487470876,42.401239295251635,41.37631847438199
1683120600,39.99,40.49,38.37,38.37,44.20650095855045,42.01731174332291,40.829715115403445
1683207000,38.2,38.2,36.47,36.85,43.9180107248818,41.52518681538739,40.106130548966455
1683293400,39.43,40.08,39.05,39.68,43.75181422586683,41.34945473773145,40.02865226733619
1683552600,40.7,40.7,39.38,39.76,43.59527249151911,41.19807809604274,39.979806400547794
1683639000,39.15,40.06,38.78,39.68,43.44173239381248,41.05349922975296,39.92529614590274
