time,open,high,low,close,EMA,EMA,Plot,Plot,Plot,Shapes,Shapes
1697722200,430.95,432.82,425.725,426.43,432.4825897927053,431.4170166768553,-177,,,0,1
1697808600,425.98,426.54,421.08,421.19,431.4071050505429,429.5575590992453,-220,,,0,1
1698067800,419.61,424.45,417.8,420.46,430.36452361715783,427.90345744483704,-257,,,0,1
1698154200,422.65,424.82,420.74,423.63,429.72314041552374,427.1264651821394,-149,,,0,1
1698240600,421.89,421.92,417.015,417.55,428.5637937092834,425.3852896944777,-253,,,0,1
1698327000,416.45,417.325,411.6,412.55,427.03867049887543,423.05160065911815,-191,,,0,1
1698413400,414.19,414.6,409.21,410.68,425.48070187993494,420.80221872109666,-239,,,0,1
1698672600,413.56,416.68,412.22,415.59,424.5387302723221,419.85454258998817,-186,,,0,1
1698759000,416.18,418.53,414.21,418.2,423.9350416749581,419.5537166645358,-97,,,0,1
1698845400,419.2,423.5,418.6499,422.66,423.8136091344859,420.118495452802,-120,,,0,1
1698931800,426.58,430.915,426.56,430.76,424.47517016929675,422.0533144613834,-40,,,0,1
1699018200,433.14,436.29,433.01,434.69,425.4480111055542,424.3508936502228,19,,,0,0
1699281000,435.47,436.1498,433.68,435.69,426.42343861931096,426.4125493501823,2,,,0,0
1699367400,435.69,437.585,434.51,436.93,427.4240635127099,428.3248131046946,-6,,,0,0
1699453800,437.55,438.09,434.87,437.25,428.3598669876899,429.9475743583865,-48,,,0,1
1699540200,438.43,438.47,433.4,433.84,428.8817844174337,430.6552881114071,-84,,,0,1
1699626600,435.98,440.93,433.8335,440.61,429.9987573300591,432.46523572751494,-80,,,0,1
1699885800,439.23,441.33,438.42,440.19,430.96935187005346,433.8697383225122,-30,,,0,1
1699972200,446.32,450.06,446.09,448.73,432.66084216814363,436.57160408205544,72,,,0,0
1700058600,450.11,451.38,448.8,449.68,434.28171434260616,438.954948794409,77,,,0,0
1700145000,449.22,450.56,448.12,450.23,435.8005986909294,441.00495810451645,-4,,,0,0
1700231400,450.24,451.42,449.29,450.79,437.2281607203647,442.784056630968,27,,,0,0
1700490600,450.53,455.125,450.52,454.26,438.85024065175855,444.8705917889738,49,,,0,0
1700577000,453.1842,454.131,451.9599,453.27,440.2235510658768,446.3977569182513,16,,,0,0
1700663400,454.98,456.38,453.8895,455.02,441.6327366786504,447.96543747856924,49,,,0,0
1700836200,455.07,455.5,454.73,455.3,442.93438080449323,449.29899430064756,49,,,0,0
1701095400,454.65,455.4901,454.0799,454.48,444.03396358501766,450.2409953368935,48,,,0,0
1701181800,454.08,456.27,453.5,454.93,445.0716813388255,451.0935416392765,14,,,0,0
1701268200,457.15,458.32,454.2,454.61,445.98009263988973,451.7328977048626,42,,,0,0
1701354600,455.48,456.76,453.34,456.4,446.97246476942405,452.5814617585239,29,,,0,0
1701441000,455.77,459.65,455.16,459.1,448.127468124717,453.7666505297014,69,,,0,0
1701700200,455.6,459.1206,454.34,456.69,448.9429473509344,454.2981686152102,102,,,1,0
1701786600,455.26,457.59,454.87,456.6,449.6721904603692,454.71668341244475,62,,,0,0
1701873000,458.81,458.84,454.31,454.76,450.15674374985787,454.7245591556366,66,,,0,0
1701959400,456.91,458.9,456.29,458.23,450.92562529749046,455.36191203642994,47,,,0,0
1702045800,457.46,460.745,457.21,460.2,451.80889907868186,456.2415643934427,68,,,0,0
